TIME,COURSE,IMP_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/21 7:18:27 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,N/A,High Impact,N/A,N/A,N/A,N/A,N/A,N/A,Some Impact,N/A,N/A,N/A,N/A,ShareTime CSIP Program,,,Yes,,,,,,,,,,First Choice,,,Woman,18 and younger
2020/09/21 7:18:40 AM EST,CMP 131 Fundamentals of Programming (Python),High Impact,High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,No Impact,ShareTime CSIP Program,Yes,,Yes,,,,,,,,,Yes,First Choice,,,Man,18 and younger
2020/09/21 7:19:34 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,N/A,ShareTime CSIP Program,Yes,,,Yes,,,,,Yes,Yes,Yes,,First Choice,,,Man,18 and younger
2020/09/21 7:19:46 AM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,,Yes,,,,,,,,,,First Choice,,,Man,18 and younger
2020/09/21 7:20:00 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,N/A,Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ShareTime CSIP Program,,,,Yes,,,,,Yes,Yes,,Yes,First Choice,,,Prefer not to say,18 and younger
2020/09/21 7:20:55 AM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,N/A,N/A,N/A,N/A,N/A,No Impact,No Impact,No Impact,N/A,N/A,N/A,Some Impact,ShareTime CSIP Program,,,,Yes,,,,,,,,,First Choice,,,Woman,18 and younger
2020/09/21 7:21:08 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ShareTime CSIP Program,,,Yes,,,,,,Yes,Yes,,,First Choice,,,Man,18 and younger
2020/09/21 7:21:18 AM EST,CMP 131 Fundamentals of Programming (Python),No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,ShareTime CSIP Program,,,Yes,,,,,,,Yes,,,N/A,,,Woman,18 and younger
2020/09/21 7:22:01 AM EST,CMP 131 Fundamentals of Programming (Python),High Impact,High Impact,High Impact,High Impact,N/A,High Impact,N/A,N/A,High Impact,High Impact,N/A,N/A,N/A,No Impact,ShareTime CSIP Program,Yes,,Yes,,,,,,,,,Yes,First Choice,,,Man,18 and younger
2020/09/21 7:22:08 AM EST,CMP 131 Fundamentals of Programming (Python),Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,ShareTime CSIP Program,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,First Choice,,,Man,18 and younger
