TIME,COURSE,IM_MSHS_CLASS,IM_MSHS_CLUB,IM_COMPETIT,IM_AFTERSCHOOL,IM_SUMMERCAMP,IM_APCLASS,IM_DUAL,IM_FAM_INFLU,IM_FAM_WORK,IM_HSTEACH,IM_EMPLOY,IM_STUDENT,IM_WORK,IM_OTHER,DEG_PROGRAM,MOT_JOB,MOT_BACH,MOT_HS,MOT_CAR_AD,MOT_CAR_CHG,MOT_PROFDEV,MOT_JOBDIS,MOT_RELOC,MOT_CURRENT,MOT_IT_CERT,MOT_FINAN,MOT_PERS,FIRST_CHOICE,MORE_CLASS,MORE_CLASS_WHY,GENDER,AGE
2020/09/25 10:43:01 AM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,1,0,0,2,1,0,1,Business,,,,,,,,,,,,,,3,well I'm a business student and I'll be graduating soon from CCM. I might take some IT classes in the future but for 0w I'm focused on business. ,Man,25-34
2020/09/25 12:17:50 PM EST,CMP 128 Computer Science I,2,0,0,0,0,0,0,1,1,1,1,1,1,0,Business,,,,,,,,,,,,,,5,Professor Stoll is my professor for CMP-128 and so far class seems like it is going to be very informational and fun at the same time! ,Woman,21-24
2020/09/25 6:58:19 PM EST,CMP 120 Foundations of Information Security,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,Information Tech0logy,1,,,,,,,,,,,,First Choice,,,Man,21-24
2020/09/25 9:48:46 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,1,1,0,0,0,0,2,Computer Science,1,1,,1,,1,,,,1,1,1,Exercise science,,,Man,19-20
2020/09/26 4:30:27 PM EST,CMP 120 Foundations of Information Security,1,1,1,1,1,1,1,0,1,0,1,1,1,2,Computer Science,1,1,,,,,,,,1,,,First Choice,,,Man,19-20
2020/09/26 6:22:05 PM EST,CMP 128 Computer Science I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mechanical Engineering Tech0logy,,,,,,,,,,,,,,3,It is interesting to learn how to code and create different things by typing in set commands.,Man,19-20
2020/09/26 7:16:44 PM EST,CMP 131 Fundamentals of Programming (Python),N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,2,Computer Science,1,1,,,1,1,,,,,,,Hospitality,,,Woman,25-34
2020/09/27 10:10:27 AM EST,CMP 128 Computer Science I,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Undecided,,,,,,,,,,,,,,4,I find program interesting and fun.,Man,19-20
2020/09/27 11:39:12 PM EST,CMP 130 Intro to IT,0,0,0,0,0,0,0,2,0,0,0,0,0,N/A,Computer Science,1,1,,,,,,,,,,,Physics,,,Man,19-20
2020/09/28 10:55:41 AM EST,CMP 128 Computer Science I,2,0,2,0,0,0,0,2,2,0,0,0,0,0,Information Tech0logy,,1,,,,,,,,,,,First Choice,,,Man,19-20
2020/09/28 11:15:36 AM EST,CMP 239 Internet & Web Page Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,Computer Science,1,1,,,1,1,,,,,,1,Mathematics,,,Man,21-24
2020/09/29 4:38:45 AM EST,CMP 131 Fundamentals of Programming (Python),2,N/A,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,Computer Science,1,1,,,,,,,,,1,,First Choice,,,Man,19-20
2020/09/30 2:35:28 PM EST,CMP 131 Fundamentals of Programming (Python),1,N/A,N/A,N/A,N/A,N/A,N/A,2,2,1,0,2,0,0,Information Tech0logy,1,1,,1,,,,,1,1,,,First Choice,,,Man,19-20
2020/09/30 6:08:29 PM EST,CMP 120 Foundations of Information Security,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Computer Science,1,,,,,,,,,,,,First Choice,,,0n-binary,19-20
2020/10/01 12:30:53 AM EST,CMP 128 Computer Science I,0,0,0,1,0,0,0,0,0,1,0,0,0,2,Business,,,,,,,,,,,,,,4,"Always taken an interest in comp sci and at ccm, I can take an affordable(ish) class that shows the basics as I have been trying to self teach different coding languages.",Man,19-20
2020/10/03 10:09:30 AM EST,CMP 128 Computer Science I,2,0,0,0,0,2,0,1,1,1,1,0,0,N/A,Computer Science,1,,,,1,1,,,,,1,,First Choice,,,Man,25-34
